antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'CKING'}),frozenset({'ATM'}),0.8578400700788387,0.3845576273307471,0.36190714553873105,0.4218818380743982,1.0970575229588402,0.03201820355997104,1.0645615605974585
frozenset({'ATM'}),frozenset({'CKING'}),0.3845576273307471,0.8578400700788387,0.36190714553873105,0.9410999023755287,1.0970575229588402,0.03201820355997104,2.413577152749877
frozenset({'HMEQLC'}),frozenset({'ATM'}),0.164685270929796,0.3845576273307471,0.0853460142660493,0.5182370820668694,1.3476187838582339,0.02201503722096569,1.2774797514711937
frozenset({'ATM'}),frozenset({'HMEQLC'}),0.3845576273307471,0.164685270929796,0.0853460142660493,0.22193296452977546,1.3476187838582339,0.02201503722096569,1.0735768140663893
frozenset({'SVG'}),frozenset({'ATM'}),0.6186960330371668,0.3845576273307471,0.25691402828181703,0.41525080906148865,1.0798142581224717,0.01898974977809864,1.052489481313312
frozenset({'ATM'}),frozenset({'SVG'}),0.3845576273307471,0.6186960330371668,0.25691402828181703,0.6680767979173445,1.0798142581224717,0.01898974977809864,1.1487716573301825
frozenset({'CKING'}),frozenset({'AUTO'}),0.8578400700788387,0.09285446126892755,0.085220873482668,0.09934354485776806,1.0698844568172836,0.005566595920598383,1.0072048377067544
frozenset({'AUTO'}),frozenset({'CKING'}),0.09285446126892755,0.8578400700788387,0.085220873482668,0.917789757412399,1.0698844568172838,0.005566595920598383,1.7292240655983901
frozenset({'SVG'}),frozenset({'AUTO'}),0.6186960330371668,0.09285446126892755,0.06144412464022025,0.09931229773462784,1.0695479396191523,0.003995437803331524,1.0071698952361154
frozenset({'AUTO'}),frozenset({'SVG'}),0.09285446126892755,0.6186960330371668,0.06144412464022025,0.6617250673854447,1.0695479396191523,0.003995437803331524,1.1272013684718014
frozenset({'CKCRD'}),frozenset({'CCRD'}),0.11300212739331748,0.154799149042673,0.05581278938806157,0.4939091915836102,3.190645392032845,0.038320156227564295,1.670057698937563
frozenset({'CCRD'}),frozenset({'CKCRD'}),0.154799149042673,0.11300212739331748,0.05581278938806157,0.36054971705739697,3.1906453920328453,0.038320156227564295,1.3871256237856717
frozenset({'CKING'}),frozenset({'CCRD'}),0.8578400700788387,0.154799149042673,0.1485421098736078,0.17315827862873814,1.1185996802928428,0.015749197010696603,1.0222039226027657
frozenset({'CCRD'}),frozenset({'CKING'}),0.154799149042673,0.8578400700788387,0.1485421098736078,0.9595796281325788,1.1185996802928428,0.015749197010696603,3.5170366662495294
frozenset({'SVG'}),frozenset({'CCRD'}),0.6186960330371668,0.154799149042673,0.10224002002252534,0.16525080906148867,1.0675175547375555,0.006466400592294419,1.0125207189563907
frozenset({'CCRD'}),frozenset({'SVG'}),0.154799149042673,0.6186960330371668,0.10224002002252534,0.6604688763136621,1.0675175547375555,0.006466400592294419,1.1230309693643445
frozenset({'CKCRD'}),frozenset({'CKING'}),0.11300212739331748,0.8578400700788387,0.11300212739331748,1.0,1.1657184536834428,0.016064374511176163,inf
frozenset({'CKING'}),frozenset({'CKCRD'}),0.8578400700788387,0.11300212739331748,0.11300212739331748,0.13172866520787746,1.1657184536834426,0.016064374511176163,1.0215676103358213
frozenset({'SVG'}),frozenset({'CKCRD'}),0.6186960330371668,0.11300212739331748,0.07971467901389062,0.1288430420711974,1.1401824465015928,0.009800711070884538,1.018183766465623
frozenset({'CKCRD'}),frozenset({'SVG'}),0.11300212739331748,0.6186960330371668,0.07971467901389062,0.7054263565891472,1.1401824465015928,0.009800711070884538,1.2944266246896177
frozenset({'CKING'}),frozenset({'HMEQLC'}),0.8578400700788387,0.164685270929796,0.164685270929796,0.19197665937272063,1.1657184536834426,0.023411646574427264,1.033775495175347
frozenset({'HMEQLC'}),frozenset({'CKING'}),0.164685270929796,0.8578400700788387,0.164685270929796,1.0,1.1657184536834428,0.023411646574427264,inf
frozenset({'CKING'}),frozenset({'MMDA'}),0.8578400700788387,0.17444625203353772,0.15580027530972343,0.18161925601750548,1.0411187050472641,0.006153290240282688,1.0087648738520676
frozenset({'MMDA'}),frozenset({'CKING'}),0.17444625203353772,0.8578400700788387,0.15580027530972343,0.8931133428981348,1.0411187050472641,0.006153290240282688,1.3300063242288511
frozenset({'CKING'}),frozenset({'MTG'}),0.8578400700788387,0.07433362532849455,0.07270679514453761,0.08475565280816923,1.1402060969529972,0.0089404327835277,1.011387153071911
frozenset({'MTG'}),frozenset({'CKING'}),0.07433362532849455,0.8578400700788387,0.07270679514453761,0.9781144781144783,1.1402060969529972,0.0089404327835277,6.495615259474649
frozenset({'SVG'}),frozenset({'CKING'}),0.6186960330371668,0.8578400700788387,0.5417344512576648,0.8756067961165048,1.0207110004036455,0.010992202919562155,1.1428271439515796
frozenset({'CKING'}),frozenset({'SVG'}),0.8578400700788387,0.6186960330371668,0.5417344512576648,0.6315098468271335,1.0207110004036457,0.010992202919562155,1.0347738295844109
frozenset({'SVG'}),frozenset({'HMEQLC'}),0.6186960330371668,0.164685270929796,0.11150043799274184,0.18021844660194175,1.0943203699058637,0.009610314168826004,1.0189479448613592
frozenset({'HMEQLC'}),frozenset({'SVG'}),0.164685270929796,0.6186960330371668,0.11150043799274184,0.6770516717325229,1.0943203699058637,0.009610314168826004,1.1806965188778555
"frozenset({'ATM', 'CD'})",frozenset({'CKING'}),0.07158052809410587,0.8578400700788387,0.07007883869353022,0.9790209790209791,1.1412628217879859,0.008674193457002169,6.776289992908705
frozenset({'CKING'}),"frozenset({'ATM', 'CD'})",0.8578400700788387,0.07158052809410587,0.07007883869353022,0.08169219547775347,1.141262821787986,0.008674193457002169,1.0110111961739323
"frozenset({'ATM', 'CD'})",frozenset({'SVG'}),0.07158052809410587,0.6186960330371668,0.05381053685396071,0.7517482517482518,1.2150526455744903,0.009523948079431938,1.5359568246671873
frozenset({'SVG'}),"frozenset({'ATM', 'CD'})",0.6186960330371668,0.07158052809410587,0.05381053685396071,0.08697411003236247,1.2150526455744903,0.009523948079431938,1.016859962140616
"frozenset({'CKING', 'HMEQLC'})",frozenset({'ATM'}),0.164685270929796,0.3845576273307471,0.0853460142660493,0.5182370820668694,1.3476187838582339,0.02201503722096569,1.2774797514711937
"frozenset({'CKING', 'ATM'})",frozenset({'HMEQLC'}),0.36190714553873105,0.164685270929796,0.0853460142660493,0.23582295988934995,1.4319614532490847,0.025745237951574268,1.0930905866384752
"frozenset({'HMEQLC', 'ATM'})",frozenset({'CKING'}),0.0853460142660493,0.8578400700788387,0.0853460142660493,1.0,1.1657184536834428,0.012132783407112005,inf
frozenset({'CKING'}),"frozenset({'HMEQLC', 'ATM'})",0.8578400700788387,0.0853460142660493,0.0853460142660493,0.09948942377826404,1.1657184536834428,0.012132783407112005,1.0157059893416869
frozenset({'HMEQLC'}),"frozenset({'CKING', 'ATM'})",0.164685270929796,0.36190714553873105,0.0853460142660493,0.5182370820668694,1.4319614532490847,0.025745237951574268,1.3244955780300158
frozenset({'ATM'}),"frozenset({'CKING', 'HMEQLC'})",0.3845576273307471,0.164685270929796,0.0853460142660493,0.22193296452977546,1.3476187838582339,0.02201503722096569,1.0735768140663893
"frozenset({'MMDA', 'ATM'})",frozenset({'CKING'}),0.05330997372043549,0.8578400700788387,0.051683143536478536,0.9694835680751173,1.1301448858480325,0.005951711944239102,4.658471549724194
frozenset({'CKING'}),"frozenset({'MMDA', 'ATM'})",0.8578400700788387,0.05330997372043549,0.051683143536478536,0.06024799416484318,1.1301448858480325,0.005951711944239102,1.0073828205753517
