Date,Price,Open,High,Low,Change %
"Mar 13, 2020",4.2800,4.2925,4.2955,4.2800,-0.29%
"Mar 12, 2020",4.2925,4.2490,4.2925,4.2450,1.25%
"Mar 11, 2020",4.2395,4.2325,4.2495,4.2295,-0.12%
"Mar 10, 2020",4.2445,4.2175,4.2445,4.2175,0.59%
"Mar 09, 2020",4.2195,4.1725,4.2216,4.1725,1.15%
"Mar 06, 2020",4.1715,4.1615,4.1865,4.1615,0.24%
"Mar 05, 2020",4.1615,4.1775,4.1775,4.1585,-0.45%
"Mar 04, 2020",4.1805,4.1945,4.1945,4.1790,-0.29%
"Mar 03, 2020",4.1925,4.2005,4.2075,4.1925,-0.24%
"Mar 02, 2020",4.2025,4.2115,4.2245,4.1945,-0.26%
"Feb 28, 2020",4.2135,4.2110,4.2285,4.2075,0.07%
"Feb 27, 2020",4.2105,4.2275,4.2275,4.2025,-0.35%
"Feb 26, 2020",4.2255,4.2325,4.2435,4.2155,-0.21%
"Feb 25, 2020",4.2345,4.2245,4.2355,4.2145,0.33%
"Feb 24, 2020",4.2205,4.1925,4.2285,4.1860,0.75%
"Feb 21, 2020",4.1890,4.1790,4.1960,4.1790,0.12%
"Feb 20, 2020",4.1840,4.1620,4.1845,4.1620,0.46%
"Feb 19, 2020",4.1650,4.1460,4.1655,4.1450,0.24%
"Feb 18, 2020",4.1550,4.1410,4.1550,4.1410,0.24%
"Feb 17, 2020",4.1450,4.1350,4.1450,4.1350,0.08%
"Feb 14, 2020",4.1415,4.1370,4.1460,4.1350,-0.01%
"Feb 13, 2020",4.1420,4.1360,4.1430,4.1360,0.10%
