,Month,Price,Change
0,May 1990,369.05,
1,Jun 1990,352.33,-4.53 
2,Jul 1990,362.53,2.90 
3,Aug 1990,394.73,8.88 
4,Sep 1990,389.32,-1.37 
5,Oct 1990,380.74,-2.20 
6,Nov 1990,381.73,0.26 
7,Dec 1990,376.95,-1.25 
8,Jan 1991,383.64,1.77 
9,Feb 1991,363.83,-5.16 
10,Mar 1991,363.34,-0.13 
11,Apr 1991,358.38,-1.37 
12,May 1991,356.95,-0.40 
13,Jun 1991,366.72,2.74 
14,Jul 1991,367.69,0.26 
15,Aug 1991,356.31,-3.10 
16,Sep 1991,348.74,-2.12 
17,Oct 1991,358.69,2.85 
18,Nov 1991,360.17,0.41 
19,Dec 1991,361.73,0.43 
20,Jan 1992,354.45,-2.01 
21,Feb 1992,353.91,-0.15 
22,Mar 1992,344.34,-2.70 
23,Apr 1992,338.62,-1.66 
24,May 1992,337.24,-0.41 
25,Jun 1992,340.81,1.06 
26,Jul 1992,352.72,3.49 
27,Aug 1992,343.06,-2.74 
28,Sep 1992,345.43,0.69 
29,Oct 1992,344.38,-0.30 
30,Nov 1992,335.02,-2.72 
31,Dec 1992,334.82,-0.06 
32,Jan 1993,329.01,-1.74 
33,Feb 1993,329.31,0.09 
34,Mar 1993,330.08,0.23 
35,Apr 1993,342.15,3.66 
36,May 1993,367.18,7.32 
37,Jun 1993,371.89,1.28 
38,Jul 1993,392.19,5.46 
39,Aug 1993,378.84,-3.40 
40,Sep 1993,355.28,-6.22 
41,Oct 1993,364.18,2.51 
42,Nov 1993,373.83,2.65 
43,Dec 1993,383.3,2.53 
44,Jan 1994,386.88,0.93 
45,Feb 1994,381.91,-1.28 
46,Mar 1994,384.13,0.58 
47,Apr 1994,377.27,-1.79 
48,May 1994,381.43,1.10 
49,Jun 1994,385.64,1.10 
50,Jul 1994,385.49,-0.04 
51,Aug 1994,380.36,-1.33 
52,Sep 1994,391.58,2.95 
53,Oct 1994,389.77,-0.46 
54,Nov 1994,384.39,-1.38 
55,Dec 1994,379.29,-1.33 
56,Jan 1995,378.55,-0.20 
57,Feb 1995,376.64,-0.50 
58,Mar 1995,382.12,1.45 
59,Apr 1995,391.03,2.33 
60,May 1995,385.22,-1.49 
61,Jun 1995,387.56,0.61 
62,Jul 1995,386.23,-0.34 
63,Aug 1995,383.67,-0.66 
64,Sep 1995,383.06,-0.16 
65,Oct 1995,383.14,0.02 
66,Nov 1995,385.31,0.57 
67,Dec 1995,387.44,0.55 
68,Jan 1996,399.45,3.10 
69,Feb 1996,404.76,1.33 
70,Mar 1996,396.21,-2.11 
71,Apr 1996,392.85,-0.85 
72,May 1996,391.93,-0.23 
73,Jun 1996,385.27,-1.70 
74,Jul 1996,383.47,-0.47 
75,Aug 1996,387.35,1.01 
76,Sep 1996,383.14,-1.09 
77,Oct 1996,381.07,-0.54 
78,Nov 1996,377.85,-0.84 
79,Dec 1996,369.0,-2.34 
80,Jan 1997,355.11,-3.76 
81,Feb 1997,346.58,-2.40 
82,Mar 1997,351.81,1.51 
83,Apr 1997,344.47,-2.09 
84,May 1997,343.84,-0.18 
85,Jun 1997,340.76,-0.90 
86,Jul 1997,324.1,-4.89 
87,Aug 1997,324.01,-0.03 
88,Sep 1997,322.82,-0.37 
89,Oct 1997,324.87,0.64 
90,Nov 1997,306.04,-5.80 
91,Dec 1997,288.74,-5.65 
92,Jan 1998,289.1,0.12 
93,Feb 1998,297.49,2.90 
94,Mar 1998,295.94,-0.52 
95,Apr 1998,308.29,4.17 
96,May 1998,299.1,-2.98 
97,Jun 1998,292.32,-2.27 
98,Jul 1998,292.87,0.19 
99,Aug 1998,284.11,-2.99 
100,Sep 1998,288.98,1.71 
101,Oct 1998,295.93,2.41 
102,Nov 1998,294.12,-0.61 
103,Dec 1998,291.68,-0.83 
104,Jan 1999,287.08,-1.58 
105,Feb 1999,287.33,0.09 
106,Mar 1999,285.96,-0.48 
107,Apr 1999,282.62,-1.17 
108,May 1999,276.44,-2.19 
109,Jun 1999,261.31,-5.47 
110,Jul 1999,256.08,-2.00 
111,Aug 1999,256.69,0.24 
112,Sep 1999,264.74,3.14 
113,Oct 1999,310.72,17.37 
114,Nov 1999,293.18,-5.64 
115,Dec 1999,283.07,-3.45 
116,Jan 2000,284.32,0.44 
117,Feb 2000,299.86,5.47 
118,Mar 2000,286.39,-4.49 
119,Apr 2000,279.69,-2.34 
120,May 2000,275.19,-1.61 
121,Jun 2000,285.73,3.83 
122,Jul 2000,281.59,-1.45 
123,Aug 2000,274.47,-2.53 
124,Sep 2000,273.68,-0.29 
125,Oct 2000,270.0,-1.34 
126,Nov 2000,266.01,-1.48 
127,Dec 2000,271.45,2.05 
128,Jan 2001,265.49,-2.20 
129,Feb 2001,261.87,-1.36 
130,Mar 2001,263.03,0.44 
131,Apr 2001,260.48,-0.97 
132,May 2001,272.36,4.56 
133,Jun 2001,270.23,-0.78 
134,Jul 2001,267.53,-1.00 
135,Aug 2001,272.39,1.82 
