,Month,Price,Change
0,Jan 1992,40.23,
1,Feb 1992,41.09,2.14 
2,Mar 1992,41.17,0.19 
3,Apr 1992,44.09,7.09 
4,May 1992,45.57,3.36 
5,Jun 1992,47.92,5.16 
6,Jul 1992,45.31,-5.45 
7,Aug 1992,43.65,-3.66 
8,Sep 1992,44.89,2.84 
9,Oct 1992,45.26,0.82 
10,Nov 1992,44.15,-2.45 
11,Dec 1992,41.83,-5.25 
12,Jan 1993,40.55,-3.06 
13,Feb 1993,43.04,6.14 
14,Mar 1993,43.42,0.88 
15,Apr 1993,42.29,-2.60 
16,May 1993,41.56,-1.73 
17,Jun 1993,39.91,-3.97 
18,Jul 1993,38.14,-4.43 
19,Aug 1993,37.97,-0.45 
20,Sep 1993,36.11,-4.90 
21,Oct 1993,37.83,4.76 
22,Nov 1993,35.18,-7.01 
23,Dec 1993,31.29,-11.06 
24,Jan 1994,33.44,6.87 
25,Feb 1994,32.12,-3.95 
26,Mar 1994,31.64,-1.49 
27,Apr 1994,34.97,10.52 
28,May 1994,37.64,7.64 
29,Jun 1994,39.14,3.99 
30,Jul 1994,40.14,2.55 
31,Aug 1994,37.84,-5.73 
32,Sep 1994,35.72,-5.60 
33,Oct 1994,36.16,1.23 
34,Nov 1994,37.91,4.84 
35,Dec 1994,36.03,-4.96 
36,Jan 1995,37.31,3.55 
37,Feb 1995,38.27,2.57 
38,Mar 1995,36.64,-4.26 
39,Apr 1995,38.6,5.35 
40,May 1995,38.35,-0.65 
41,Jun 1995,35.95,-6.26 
42,Jul 1995,33.43,-7.01 
43,Aug 1995,35.39,5.86 
44,Sep 1995,36.63,3.50 
45,Oct 1995,35.01,-4.42 
46,Nov 1995,36.47,4.17 
47,Dec 1995,39.14,7.32 
48,Jan 1996,39.28,0.36 
49,Feb 1996,39.08,-0.51 
50,Mar 1996,43.12,10.34 
51,Apr 1996,46.37,7.54 
52,May 1996,42.87,-7.55 
53,Jun 1996,41.7,-2.73 
54,Jul 1996,43.72,4.84 
55,Aug 1996,44.89,2.68 
56,Sep 1996,49.56,10.40 
57,Oct 1996,52.76,6.46 
58,Nov 1996,49.66,-5.88 
59,Dec 1996,52.99,6.71 
60,Jan 1997,53.34,0.66 
61,Feb 1997,48.07,-9.88 
62,Mar 1997,45.69,-4.95 
63,Apr 1997,42.52,-6.94 
64,May 1997,45.59,7.22 
65,Jun 1997,42.04,-7.79 
66,Jul 1997,43.43,3.31 
67,Aug 1997,45.01,3.64 
68,Sep 1997,44.67,-0.76 
69,Oct 1997,47.63,6.63 
70,Nov 1997,45.23,-5.04 
71,Dec 1997,41.28,-8.73 
72,Jan 1998,36.33,-11.99 
73,Feb 1998,34.03,-6.33 
74,Mar 1998,31.9,-6.26 
75,Apr 1998,32.29,1.22 
76,May 1998,33.69,4.34 
77,Jun 1998,30.36,-9.88 
78,Jul 1998,31.0,2.11 
79,Aug 1998,30.54,-1.48 
80,Sep 1998,32.8,7.40 
81,Oct 1998,30.6,-6.71 
82,Nov 1998,27.71,-9.44 
83,Dec 1998,24.09,-13.06 
84,Jan 1999,26.14,8.51 
85,Feb 1999,25.24,-3.44 
86,Mar 1999,30.59,21.20 
87,Apr 1999,37.66,23.11 
88,May 1999,38.77,2.95 
89,Jun 1999,39.31,1.39 
90,Jul 1999,45.41,15.52 
91,Aug 1999,48.05,5.81 
92,Sep 1999,52.73,9.74 
93,Oct 1999,51.8,-1.76 
94,Nov 1999,57.07,10.17 
95,Dec 1999,59.06,3.49 
96,Jan 2000,59.62,0.95 
97,Feb 2000,65.42,9.73 
98,Mar 2000,66.34,1.41 
99,Apr 2000,56.79,-14.40 
100,May 2000,67.35,18.59 
101,Jun 2000,72.15,7.13 
102,Jul 2000,68.97,-4.41 
103,Aug 2000,72.87,5.65 
104,Sep 2000,80.36,10.28 
105,Oct 2000,79.17,-1.48 
106,Nov 2000,81.7,3.20 
107,Dec 2000,63.26,-22.57 
108,Jan 2001,64.56,2.06 
109,Feb 2001,68.24,5.70 
110,Mar 2001,63.4,-7.09 
111,Apr 2001,65.63,3.52 
112,May 2001,70.74,7.79 
113,Jun 2001,69.92,-1.16 
114,Jul 2001,64.28,-8.07 
115,Aug 2001,65.64,2.12 
116,Sep 2001,63.12,-3.84 
117,Oct 2001,52.57,-16.71 
118,Nov 2001,47.77,-9.13 
119,Dec 2001,47.55,-0.46 
120,Jan 2002,49.58,4.27 
121,Feb 2002,52.03,4.94 
122,Mar 2002,61.34,17.89 
123,Apr 2002,65.64,7.01 
124,May 2002,65.23,-0.62 
125,Jun 2002,61.09,-6.35 
126,Jul 2002,62.78,2.77 
127,Aug 2002,65.72,4.68 
128,Sep 2002,69.38,5.57 
129,Oct 2002,67.74,-2.36 
130,Nov 2002,60.4,-10.84 
131,Dec 2002,67.45,11.67 
132,Jan 2003,72.89,8.07 
133,Feb 2003,77.81,6.75 
134,Mar 2003,71.81,-7.71 
135,Apr 2003,60.68,-15.50 
136,May 2003,60.03,-1.07 
137,Jun 2003,63.94,6.51 
138,Jul 2003,66.28,3.66 
139,Aug 2003,69.46,4.80 
140,Sep 2003,62.54,-9.96 
141,Oct 2003,65.68,5.02 
142,Nov 2003,65.81,0.20 
143,Dec 2003,66.16,0.53 
144,Jan 2004,68.05,2.86 
145,Feb 2004,67.85,-0.29 
146,Mar 2004,74.06,9.15 
147,Apr 2004,74.83,1.04 
148,May 2004,83.74,11.91 
149,Jun 2004,78.65,-6.08 
150,Jul 2004,83.3,5.91 
151,Aug 2004,93.07,11.73 
152,Sep 2004,91.88,-1.28 
153,Oct 2004,102.44,11.49 
154,Nov 2004,90.04,-12.10 
155,Dec 2004,82.11,-8.81 
156,Jan 2005,91.41,11.33 
157,Feb 2005,94.73,3.63 
158,Mar 2005,108.14,14.16 
159,Apr 2005,108.67,0.49 
160,May 2005,103.67,-4.60 
161,Jun 2005,119.08,14.86 
162,Jul 2005,126.04,5.84 
163,Aug 2005,136.7,8.46 
164,Sep 2005,136.43,-0.20 
165,Oct 2005,130.48,-4.36 
166,Nov 2005,125.09,-4.13 
167,Dec 2005,127.72,2.10 
168,Jan 2006,139.48,9.21 
169,Feb 2006,134.83,-3.33 
170,Mar 2006,137.27,1.81 
171,Apr 2006,151.89,10.65 
172,May 2006,149.63,-1.49 
173,Jun 2006,149.83,0.13 
174,Jul 2006,158.95,6.09 
175,Aug 2006,156.6,-1.48 
